Feature Word,Priority Index Old,Proximity Score,Neighbour
Standard,0.6013306968371159,0.47015360904797865,today
today,0.4709893863127943,0.3259221024315226,today
including,0.21767956610963696,0.5061518958873547,today
Point,0.5717461039679784,0.4062957502841952,today
computers,0.5717461039679784,0.394351185036083,today
Macintoshes,0.6168298771263208,0.44498555660791633,today
common,0.4068695076045183,0.34415077624890966,today
Unix,0.6168298771263208,0.4815459162677908,today
Steve,0.736622700332299,0.3231176910750015,Standard
Steve,0.736622700332299,0.3231176910750015,today
Steve,0.736622700332299,0.3231176910750015,including
Steve,0.736622700332299,0.3231176910750015,Point
2005-Feb-24,0.2254847504632474,0.39640949909308837,today
IEEE,0.8278855001029439,0.3231176910750015,today
IEEE,0.8278855001029439,0.3231176910750015,including
PC's,0.4211573137952143,0.3751876271905882,today
Last,0.32514889549840736,0.3231176910750015,today
platforms,0.4709893863127943,0.33613517510389823,today
754,0.5811816291659565,0.45750646423331687,today
update,0.4709893863127943,0.337139747857607,today
Steve Hollasch,0.7764198898392879,0.3231176910750015,today
Steve Hollasch,0.7764198898392879,0.3231176910750015,including
Steve Hollasch,0.7764198898392879,0.3231176910750015,Point
Steve Hollasch,0.7764198898392879,0.3231176910750015,computers
Point Numbers,0.23504666712409938,0.39640949909308837,today
IEEE Standard,0.9043808333906199,0.3231176910750015,Standard
IEEE Standard,0.9043808333906199,0.3231176910750015,today
representation today,0.6234995314751898,0.44498555660791633,today
Steve Hollasch /,1.0,0.3231176910750015,Standard
Steve Hollasch /,1.0,0.3231176910750015,today
Steve Hollasch /,1.0,0.3231176910750015,including
Steve Hollasch /,1.0,0.3231176910750015,Point
Steve Hollasch / Last,1.0,0.3231176910750015,Standard
Steve Hollasch / Last,1.0,0.3231176910750015,today
Steve Hollasch / Last,1.0,0.3231176910750015,including
Steve Hollasch / Last,1.0,0.3231176910750015,Point
brief,0.4709893863127943,0.2639893221793666,gives
gives,0.20511026450257006,0.3231176910750015,gives
overview,0.4709893863127943,0.2821200825165347,gives
IEEE floating point,0.2828562504292197,0.3231176910750015,gives
represent,0.800867906367688,0.31160158581850805,Floating
Floating,0.4068695076045183,0.36820399672984055,Floating
may,0.19163917330455388,0.3231176910750015,Floating
several,0.32514889549840736,0.32520255406169296,Floating
found,0.26745922827114255,0.32516035655063075,Floating
ways,0.5717461039679784,0.32260029928602485,Floating
implementation,0.4709893863127943,0.361085106363287,Floating
Discussion,0.4709893863127943,0.36820399672984055,Floating
real,0.4419611715978707,0.542211311850433,Floating
bottom,0.4709893863127943,0.33735547180810854,Floating
book,0.5717461039679784,0.322452473060603,Floating
Are Floating,0.6585957429883589,0.3231176910750015,represent
Are Floating,0.6585957429883589,0.3231176910750015,Floating
Are Floating Point,1.0,0.3231176910750015,represent
Are Floating Point,1.0,0.3231176910750015,Floating
radix,0.736622700332299,0.2964758024306672,Fixed
Fixed,0.32514889549840736,0.3231176910750015,Fixed
digits,0.5717461039679784,0.3186089514161375,Fixed
somewhere,0.32514889549840736,0.3231176910750015,Fixed
middle,0.23893325610391228,0.5592805307861655,Fixed
equivalent,0.4709893863127943,0.3231176910750015,Fixed
portions,0.4709893863127943,0.3231176910750015,Fixed
places,0.3884359909468871,0.3306446604563919,Fixed
using,0.056920541465155385,0.30231810379393514,Fixed
represent portions,0.23504666712409938,0.3231176910750015,Fixed
point places,0.23504666712409938,0.3231176910750015,Fixed
four,0.12574165937294926,0.3231176910750015,1/100ths
1/100ths,0.4211573137952143,0.32233253806881196,1/100ths
unit,0.5717461039679784,0.3231176910750015,1/100ths
example,0.5926769669938151,0.3231176910750015,1/100ths
might,0.33248298022378703,0.3231176910750015,1/100ths
decimal,0.32514889549840736,0.3231176910750015,1/100ths
one,0.056920541465155385,0.3231176910750015,1/100ths
represent 1/100ths,0.23504666712409938,0.32149031113901266,1/100ths
every,0.056920541465155385,0.2703400673278494,ratio
ratio,0.4709893863127943,0.3134370354402507,ratio
use,0.32405272537811103,0.5151983344246533,ratio
two,0.34059655875260736,0.5151983344246533,ratio
Another,0.32514889549840736,0.5264129602756827,ratio
represents,0.6289094815187359,0.31604627366662424,ratio
reals,0.4709893863127943,0.31604627366662424,ratio
rationals,0.4709893863127943,0.3168859723267624,ratio
approach,0.23893325610391228,0.3231176910750015,ratio
Scientific,0.4709893863127943,0.3231176910750015,Scientific
Scientific,0.4709893863127943,0.3231176910750015,base number
base number,0.6234995314751898,0.20314085566667867,base number
Scientific notation,0.23504666712409938,0.3231176910750015,Scientific
Scientific notation,0.23504666712409938,0.3231176910750015,base number
solves,0.4709893863127943,0.2864847973474397,representation
representation,0.6989797534111973,0.3231176910750015,solves
representation,0.6989797534111973,0.3231176910750015,representation
hexadecimal,0.32514889549840736,0.31107947396174945,representation
