Word,PI Score,Tf-Idf,Loc Ind
chariot,0.302950439565,0.00029856433345415917,0 22 11
Lakshmana,0.380027007066,0.0004187925814405486,0 20 5
Jambavan,0.684319782337,0.0022321462209107016,0 15 10
violent,0.577207865503,0.0011160731104553508,0 20 8
welfare,0.577207865503,0.0011160731104553508,0 33 11
battle,0.684319782337,0.0022321462209107016,0 20 25
suffer,0.577207865503,0.0011160731104553508,0 27 15
envy,0.577207865503,0.0011160731104553508,0 5 10
death,0.302950439565,0.00029856433345415917,0 20 13
swoon,0.577207865503,0.0011160731104553508,0 18 13
send,0.577207865503,0.0011160731104553508,0 26 4
Bharata,0.302950439565,0.00029856433345415917,0 31 50
Vibhishana,0.851239669421,0.005580365552276753,0 6 6
innocent,0.577207865503,0.0011160731104553508,0 30 43
Ramas,0.524078301094,0.0008956930003624774,0 9 1
bridge,0.745242988431,0.003348219331366052,0 10 5
complaint,0.577207865503,0.0011160731104553508,0 28 5
woman,0.45125933913,0.0005580365552276754,0 27 36
return,0.577207865503,0.0011160731104553508,0 4 26
worst,0.577207865503,0.0011160731104553508,0 5 19
moment.,0.577207865503,0.0011160731104553508,0 14 16
day,0.577207865503,0.0011160731104553508,0 21 10
vast,0.577207865503,0.0011160731104553508,0 3 15
prominent,0.577207865503,0.0011160731104553508,0 13 10
builder,0.577207865503,0.0011160731104553508,0 8 12
magic,0.684319782337,0.0022321462209107016,0 14 6
success,0.577207865503,0.0011160731104553508,0 0 5
Ayodhya,0.376505801614,0.0004119093779080263,0 31 41
proclaim,0.577207865503,0.0011160731104553508,0 26 8
victory,0.577207865503,0.0011160731104553508,0 26 16
night,0.684319782337,0.0022321462209107016,0 21 12
side,0.577207865503,0.0011160731104553508,0 13 18
sea,0.577207865503,0.0011160731104553508,0 7 17
divine,0.577207865503,0.0011160731104553508,0 8 10
witness,0.577207865503,0.0011160731104553508,0 29 17
Thereupon,0.577207865503,0.0011160731104553508,0 31 0
Shatrughna,0.577207865503,0.0011160731104553508,0 31 51
populace,0.577207865503,0.0011160731104553508,0 32 7
solemn,0.577207865503,0.0011160731104553508,0 30 21
god,0.684319782337,0.0022321462209107016,0 24 14
Agni,0.684319782337,0.0022321462209107016,0 29 12
hero,0.577207865503,0.0011160731104553508,0 5 25
revenge,0.577207865503,0.0011160731104553508,0 27 7
innocence,0.508990360128,0.0008238187558160526,0 31 13
news,0.508990360128,0.0008238187558160526,0 26 13
come,0.255344848309,0.00020595468895401314,0 22 3
ignominy,0.577207865503,0.0011160731104553508,0 27 10
Indra,0.577207865503,0.0011160731104553508,0 22 8
fellow-,0.577207865503,0.0011160731104553508,0 13 11
place,0.577207865503,0.0011160731104553508,0 12 3
Ravana,0.676702442505,0.002089950334179114,0 5 0
Kailasa,0.577207865503,0.0011160731104553508,0 15 17
whole,0.609257068745,0.0012357281337240789,0 16 10
presence,0.577207865503,0.0011160731104553508,0 26 21
Rakshasa,0.577207865503,0.0011160731104553508,0 30 39
image,0.577207865503,0.0011160731104553508,0 17 28
son,0.609257068745,0.0012357281337240789,0 13 20
amidst,0.577207865503,0.0011160731104553508,0 32 2
city,0.49643128602,0.0007639912441816885,0 17 20
monkey,0.745242988431,0.003348219331366052,0 8 4
erect,0.577207865503,0.0011160731104553508,0 28 14
fight,0.577207865503,0.0011160731104553508,0 4 14
master,0.577207865503,0.0011160731104553508,0 8 11
fragrance,0.577207865503,0.0011160731104553508,0 16 23
place.,0.577207865503,0.0011160731104553508,0 17 8
bitter,0.508990360128,0.0008238187558160526,0 28 4
Rakshasas.,0.577207865503,0.0011160731104553508,0 25 15
citadel,0.577207865503,0.0011160731104553508,0 2 7
head,0.577207865503,0.0011160731104553508,0 23 12
Lanka.,0.577207865503,0.0011160731104553508,0 10 21
flight,0.577207865503,0.0011160731104553508,0 25 12
fire,0.684319782337,0.0022321462209107016,0 29 14
Mount,0.577207865503,0.0011160731104553508,0 15 16
regard,0.577207865503,0.0011160731104553508,0 19 17
sortie,0.577207865503,0.0011160731104553508,0 11 7
virtue,0.577207865503,0.0011160731104553508,0 19 19
Sugriva,0.376505801614,0.0004119093779080263,0 1 0
town,0.577207865503,0.0011160731104553508,0 10 24
duel,0.577207865503,0.0011160731104553508,0 21 2
Sitas,0.577207865503,0.0011160731104553508,0 31 12
coast.,0.577207865503,0.0011160731104553508,0 3 22
Brahma,0.577207865503,0.0011160731104553508,0 24 15
wild,0.577207865503,0.0011160731104553508,0 25 11
aid,0.508990360128,0.0008238187558160526,0 22 6
Rakshasas,0.745242988431,0.003348219331366052,0 6 16
fetch,0.577207865503,0.0011160731104553508,0 15 21
heart,0.577207865503,0.0011160731104553508,0 24 7
Nala,0.577207865503,0.0011160731104553508,0 8 5
people.,0.577207865503,0.0011160731104553508,0 31 27
palace,0.376505801614,0.0004119093779080263,0 30 36
delusion,0.577207865503,0.0011160731104553508,0 19 34
Angada,0.577207865503,0.0011160731104553508,0 13 2
council,0.577207865503,0.0011160731104553508,0 3 46
duel.,0.577207865503,0.0011160731104553508,0 20 9
mountain,0.577207865503,0.0011160731104553508,0 17 4
Fate,0.577207865503,0.0011160731104553508,0 19 13
fortification,0.577207865503,0.0011160731104553508,0 2 10
latter,0.684319782337,0.0022321462209107016,0 8 1
march,0.577207865503,0.0011160731104553508,0 3 11
field,0.577207865503,0.0011160731104553508,0 20 23
speech,0.508990360128,0.0008238187558160526,0 19 8
pure,0.577207865503,0.0011160731104553508,0 30 41
Lanka,0.524078301094,0.0008956930003624774,0 3 34
description,0.577207865503,0.0011160731104553508,0 2 4
shall,0.577207865503,0.0011160731104553508,0 3 6
advice,0.684319782337,0.0022321462209107016,0 15 6
enter,0.684319782337,0.0022321462209107016,0 32 1
ill-will,0.577207865503,0.0011160731104553508,0 5 12
Hanuman,1.0,0.008928584883642806,0 2 0
Horrified,0.577207865503,0.0011160731104553508,0 18 0
subjects.,0.577207865503,0.0011160731104553508,0 33 14
nothing,0.45125933913,0.0005580365552276754,0 28 19
lap,0.577207865503,0.0011160731104553508,0 27 42
man,0.45125933913,0.0005580365552276754,0 27 45
Indrajit,0.809064464463,0.004464292441821403,0 20 1
wife,0.227391307059,0.00012765435020475798,0 27 34
Sita,0.523634831896,0.0008935804514333059,0 17 30
weapon,0.577207865503,0.0011160731104553508,0 24 10
Vishvakarman,0.577207865503,0.0011160731104553508,0 8 13
Ravanas,0.697139463634,0.0024714562674481577,0 2 6
chief,0.577207865503,0.0011160731104553508,0 12 12
command,0.684319782337,0.0022321462209107016,0 9 2
time,0.302950439565,0.00029856433345415917,0 23 2
occasion,0.684319782337,0.0022321462209107016,0 17 11
pyre,0.745242988431,0.003348219331366052,0 28 16
order,0.45125933913,0.0005580365552276754,0 15 19
bitter complaints,1.0,0.001136002987427768,0 19 10 | 0 19 11
whole affair,1.0,0.001136002987427768,0 19 29 | 0 19 30
magic arts,1.0,0.001136002987427768,0 14 6 | 0 14 7
divine master,1.0,0.001136002987427768,0 8 10 | 0 8 11
Lanka. Now,1.0,0.001136002987427768,0 10 21 | 0 10 22
Ravanas citadel,1.0,0.001136002987427768,0 2 6 | 0 2 7
"Ravanas side,",1.0,0.001136002987427768,0 13 17 | 0 13 18
fellow- combatants,1.0,0.001136002987427768,0 13 11 | 0 13 12
wild flight,1.0,0.001136002987427768,0 25 11 | 0 25 12
Thereupon Rama,1.0,0.001136002987427768,0 31 0 | 0 31 1
"city carrying,",1.0,0.001136002987427768,0 17 20 | 0 17 21
"solemn speech,",1.0,0.001136002987427768,0 30 21 | 0 30 22
"monkey Nala,",1.0,0.001136002987427768,0 8 4 | 0 8 5
Ravanas town,1.0,0.001136002987427768,0 10 23 | 0 10 24
vast army,1.0,0.001136002987427768,0 3 15 | 0 3 16
"builder Vishvakarman,",1.0,0.001136002987427768,0 8 12 | 0 8 13
duel. Furious,1.0,0.001136002987427768,0 20 9 | 0 20 10
"Mount Kailasa,",1.0,0.001136002987427768,0 15 16 | 0 15 17
son Indrajit,1.0,0.001136002987427768,0 13 20 | 0 13 21
"Ramas aid,",1.0,0.001136002987427768,0 22 5 | 0 22 6
Ravanas heart,1.0,0.001136002987427768,0 24 6 | 0 24 7
master builder,1.0,0.001136002987427768,0 8 11 | 0 8 12
weapon created,1.0,0.001136002987427768,0 24 10 | 0 24 11
coast. When,1.0,0.001136002987427768,0 3 22 | 0 3 23
"moment. Thus,",1.0,0.001136002987427768,0 14 16 | 0 14 17
prominent fellow-,1.0,0.001136002987427768,0 13 10 | 0 13 11
Rakshasas. Ravana,1.0,0.001136002987427768,0 25 15 | 0 25 16
"Ravanas brother,",1.0,0.001136002987427768,0 4 16 | 0 4 17
"Ramas command,",1.0,0.001136002987427768,0 9 1 | 0 9 2
people. Now,1.0,0.001136002987427768,0 31 27 | 0 31 28
"Ravanas heads,",1.0,0.001136002987427768,0 23 8 | 0 23 9
"Sitas innocence,",1.0,0.001136002987427768,0 31 12 | 0 31 13
enter amidst,1.0,0.001136002987427768,0 32 1 | 0 32 2
"fire god,",1.0,0.001136002987427768,0 29 14 | 0 29 15
bitter complaint,1.0,0.001136002987427768,0 28 4 | 0 28 5
nothing remained,1.0,0.001136002987427768,0 28 19 | 0 28 20
worst enemies,1.0,0.001136002987427768,0 5 19 | 0 5 20
place. On,1.0,0.001136002987427768,0 17 8 | 0 17 9
divine master builder,1.0,0.0011839237089817927,0 8 10 | 0 8 11 | 0 8 12
"master builder Vishvakarman,",1.0,0.0011839237089817927,0 8 11 | 0 8 12 | 0 8 13
people. Now Rama,1.0,0.0011839237089817927,0 31 27 | 0 31 28 | 0 31 29
Lanka. Now Ravanas,1.0,0.0011839237089817927,0 10 21 | 0 10 22 | 0 10 23
